#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
lava                                              (minecraft:lava)                                                                 = Lava
iron                                              (tconstruct:molten_iron)                                                         = Molten Iron
gold                                              (tconstruct:molten_gold)                                                         = Molten Gold
pigiron                                           (tconstruct:molten_pigiron)                                                      = Molten Pigiron
cobalt                                            (tconstruct:molten_cobalt)                                                       = Molten Cobalt
ardite                                            (tconstruct:molten_ardite)                                                       = Molten Ardite
manyullyn                                         (tconstruct:molten_manyullyn)                                                    = Molten Manyullyn
knightslime                                       (tconstruct:molten_knightslime)                                                  = Molten Knightslime
alubrass                                          (tconstruct:molten_alubrass)                                                     = Molten Aluminum Brass
brass                                             (tconstruct:molten_brass)                                                        = Molten Brass
copper                                            (tconstruct:molten_copper)                                                       = Molten Copper
tin                                               (tconstruct:molten_tin)                                                          = Molten Tin
bronze                                            (tconstruct:molten_bronze)                                                       = Molten Bronze
zinc                                              (tconstruct:molten_zinc)                                                         = Molten Zinc
lead                                              (tconstruct:molten_lead)                                                         = Molten Lead
nickel                                            (tconstruct:molten_nickel)                                                       = Molten Nickel
silver                                            (tconstruct:molten_silver)                                                       = Molten Silver
electrum                                          (tconstruct:molten_electrum)                                                     = Molten Electrum
steel                                             (tconstruct:molten_steel)                                                        = Molten Steel
aluminum                                          (tconstruct:molten_aluminum)                                                     = Molten Aluminum
liquidhydrogen                                    ([no block])                                                                     = Liquid Hydrogen
liquidoxygen                                      ([no block])                                                                     = Liquid Oxygen
liquidchlorine                                    ([no block])                                                                     = Liquid Chlorine
liquidsulfurdioxide                               ([no block])                                                                     = Liquid Sulfur Dioxide
liquidsulfurtrioxide                              ([no block])                                                                     = Liquid Sulfur Trioxide
sulfuricacid                                      ([no block])                                                                     = Sulfuric Acid
liquidhydrogenchloride                            ([no block])                                                                     = Liquid Hydrogen Chloride
liquidethene                                      ([no block])                                                                     = Liquid Ethylene
liquidsodium                                      ([no block])                                                                     = Liquid Sodium
brine                                             ([no block])                                                                     = Brine
liquiddeuterium                                   ([no block])                                                                     = Liquid Deuterium
liquidtritium                                     ([no block])                                                                     = Liquid Tritium
liquidfusionfuel                                  ([no block])                                                                     = Liquid D-T Fuel
liquidlithium                                     ([no block])                                                                     = Liquid Lithium
heavywater                                        ([no block])                                                                     = Heavy Water
steam                                             ([no block])                                                                     = Steam
sand                                              (biomesoplenty:sand)                                                             = Quicksand
honey                                             (biomesoplenty:honey)                                                            = Honey
blood                                             (biomesoplenty:blood)                                                            = Blood
poison                                            (biomesoplenty:poison)                                                           = Poison
hot_spring_water                                  (biomesoplenty:hot_spring_water)                                                 = Hot Spring Water
creosote                                          ([no block])                                                                     = Creosote Oil
coal                                              ([no block])                                                                     = Liquifacted Coal
crude_oil                                         (thermalfoundation:fluid_crude_oil)                                              = Crude Oil
refined_oil                                       ([no block])                                                                     = Naphtha
refined_fuel                                      ([no block])                                                                     = Refined Fuel
sap                                               ([no block])                                                                     = Sap
syrup                                             ([no block])                                                                     = Syrup
resin                                             ([no block])                                                                     = Resin
tree_oil                                          ([no block])                                                                     = Tree Oil
seed_oil                                          ([no block])                                                                     = Seed Oil
biocrude                                          ([no block])                                                                     = Biocrude
refined_biofuel                                   ([no block])                                                                     = Grassoline
mushroom_stew                                     ([no block])                                                                     = Mushroom Stew
experience                                        ([no block])                                                                     = Essence of Knowledge
potion                                            ([no block])                                                                     = Potion
potion_splash                                     ([no block])                                                                     = Splash Potion
potion_lingering                                  ([no block])                                                                     = Lingering Potion
redstone                                          (thermalfoundation:fluid_redstone)                                               = Destabilized Redstone
glowstone                                         (thermalfoundation:fluid_glowstone)                                              = Energized Glowstone
ender                                             (thermalfoundation:fluid_ender)                                                  = Resonant Ender
pyrotheum                                         (thermalfoundation:fluid_pyrotheum)                                              = Blazing Pyrotheum
cryotheum                                         (thermalfoundation:fluid_cryotheum)                                              = Gelid Cryotheum
aerotheum                                         (thermalfoundation:fluid_aerotheum)                                              = Zephyrean Aerotheum
petrotheum                                        (thermalfoundation:fluid_petrotheum)                                             = Tectonic Petrotheum
mana                                              (thermalfoundation:fluid_mana)                                                   = Primal Mana
platinum                                          (tconstruct:molten_platinum)                                                     = Molten Platinum
iridium                                           (tconstruct:molten_iridium)                                                      = Molten Iridium
invar                                             (tconstruct:molten_invar)                                                        = Molten Invar
constantan                                        ([no block])                                                                     = Molten Constantan
signalum                                          (tconstruct:molten_signalum)                                                     = Molten Signalum
lumium                                            (tconstruct:molten_lumium)                                                       = Molten Lumium
enderium                                          (tconstruct:molten_enderium)                                                     = Molten Enderium
alumite                                           (plustic:plustic.molten_alumite)                                                 = Molten Alumite
osmium                                            (plustic:plustic.molten_osmium)                                                  = Molten Osmium
refinedobsidian                                   (plustic:plustic.molten_refinedobsidian)                                         = Molten Refined Obsidian
refinedglowstone                                  (plustic:plustic.molten_refinedglowstone)                                        = Refined Glowstone
osgloglas                                         (plustic:plustic.molten_osgloglas)                                               = Molten Osgloglas
osmiridium                                        (plustic:plustic.molten_osmiridium)                                              = Molten Osmiridium
stone                                             (tconstruct:molten_stone)                                                        = Seared Stone
obsidian                                          (tconstruct:molten_obsidian)                                                     = Molten Obsidian
clay                                              (tconstruct:molten_clay)                                                         = Molten Clay
dirt                                              (tconstruct:molten_dirt)                                                         = Liquid Dirt
emerald                                           (tconstruct:molten_emerald)                                                      = Molten Emerald
glass                                             (tconstruct:molten_glass)                                                        = Molten Glass
milk                                              (tconstruct:milk)                                                                = Milk
blueslime                                         (tconstruct:blueslime)                                                           = Liquid Blue Slime
purpleslime                                       (tconstruct:purpleslime)                                                         = Liquid Purple Slime
amber                                             (jaopca:molten.amber)                                                            = Molten Amber
amethyst                                          (jaopca:molten.amethyst)                                                         = Molten Amethyst
diamond                                           (jaopca:molten.diamond)                                                          = Molten Diamond
ender_biotite                                     (jaopca:molten.ender_biotite)                                                    = Molten Ender Biotite
lapis                                             (jaopca:molten.lapis)                                                            = Molten Lapis Lazuli
malachite                                         (jaopca:molten.malachite)                                                        = Molten Malachite
mithril                                           (jaopca:molten.mithril)                                                          = Molten Mithril
peridot                                           (jaopca:molten.peridot)                                                          = Molten Peridot
quartz                                            (jaopca:molten.quartz)                                                           = Molten Quartz
ruby                                              (jaopca:molten.ruby)                                                             = Molten Ruby
sapphire                                          (jaopca:molten.sapphire)                                                         = Molten Sapphire
tanzanite                                         (jaopca:molten.tanzanite)                                                        = Molten Tanzanite
topaz                                             (jaopca:molten.topaz)                                                            = Molten Topaz
